Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",1206,2,10u,C13585
"C10, C11, C14, C3, C4, C5, C6, C7, C8, C9",0402,10,100n,C1525
"C12, C13, C15",0402,3,2.2uF,C12530
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-123,17,D_Small,C81598
F1,0603,1,Fuse,C2757930
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle,C165948
"R1, R6, R8",0402,3,1k,C11702
"R2, R3",0402,2,5.1k,C25905
"R4, R5",0402,2,27,C25100
R7,0402,1,10k,C25744
SD1,D_SOD-123,1,Schottky diode,C8598
STLED1,0402,1,LED_GREEN,C130723
SW_BOOT1,SW_SPST_PTS810,1,BOOT,C92589
SW_RESET1,SW_SPST_PTS810,1,RESET,C92589
U1,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,C347222
U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U3,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVSIQ,C97521
Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,1,12MHz,C341520
